,Address:,Architects:,Building completed,Demolished,Name of Building:,Notes:,Type of Building:
1963,0 Brunswick Avenue,,1959,,Sibelius Monument,Inscribed: Jean Sibelius 1865-1957.  Commisioned and donated to the City of Toronto by the Finnish community in 1959.,Public Sculpture
1964,40 College Street,,,,"""To serve and protect""",,Public Sculpture
1965,0 Don Valley Parkway,,1997,,Elevated Wetlands,Commissioned by the Canadian Plastics Industry Association;  the first of 5 Plastics + Arts projects.,Public Sculpture
1966,0 Dufferin Street,,1971,,Three Dark Figures,,Public Sculpture
1967,1000 Finch Avenue West,,,,Constella,"Initially created for JDS Consultants.  Another company at the building, KRD consultants, painted the corporate logo over the work.  The City of Toronto now owns the site and the work and is said to be restoring it back to the original condition.",Public Sculpture
1968,0 Front Street East,Lutkenhaus Almuth,1982,,Berczy Family Sculpture,Located at the west end of Berczy Park.,Public Sculpture
1969,0 Front Street West,,1995,,"""Untitled""","Mountain-range of water-cut metal slabs, situated in Simcoe Place Park (next to Simcoe Place -- no.200 Front Street West).  Was commissioned by the developers of Simcoe Place, Cadillac Fairview, and cost $425,000.",Public Sculpture
1970,0 Front Street West,,c1995,,"""Campsite Founding""",Situated in Simcoe Place Park (next to Simcoe Place -- no.200 Front Street West).,Public Sculpture
1971,250 Front Street West,,2001,,Glenn Gould Statue,Situated outside the CBC Toronto studio named in his honour.  Funds provided by Clarice Chalmers in memory of Wallace Gordon Chalmers.  Statue created from an original photograph by Don Hunstein.,Public Sculpture
1972,255 Front Street West,,,,"""Woodpecker Column""",Situated on the grounds of the Metro Toronto Convention Centre.,Public Sculpture
1973,255 Front Street West,,1984,,Eloges de Fontenelle,,Public Sculpture
1974,0 Hagerman Street,Markson Jerome,1977,,Larry Sefton Memorial,Located in Larry Sefton Park.,Public Sculpture
1975,0 Harbourfront,,1994,,Halo,,Public Sculpture
1976,33 Jackes Avenue,Wright Frank,1980s-casts,,"""Three Figures""","Casts made in 1980s from originals.  Original work, commisioned by Midway Gardens, Chicago was destroyed.  Other casts used in Arizona Biltmore Hotel in Phoenix.",Public Sculpture
1977,55 John Street,,c1992,,"The Poet, The Fever Hospital",Fountain situated in the park between Metro Hall and Roy Thomson Hall.  made of granite and stainless steel.,Public Sculpture
1978,55 John Street,,c1992,,Remembered Sustenance,,Public Sculpture
1979,55 John Street,,c1992,,Selections from a Synopsis,,Public Sculpture
1980,55 John Street,,c1992,,Memoire du Futur,Itilizes lintels from the Canadian Pacific Railway freight and food terminals.,Public Sculpture
1981,55 John Street,,c1992,,Surface Design (Windscreen),Functions as a windscreen due to the high wind speeds at plaza level.,Public Sculpture
1982,4700 Keele Street,,,,Fontana d'Italia,,Public Sculpture
1983,0 Lake Shore Boulevard West,Wyle Florence,1939,,Lion Monument,"Column at the entrance of the Queen Elizabeth Highway, celebrating the visit of the King and Queen in 1939.  Relocated to Sir Casimir Gzowski Park in 1974.",Public Sculpture
1984,0 Mill Street (North York),Alison Adrienne,2000,,C.W. Jefferys Statue,Commissioned by the North York Historical Society.  Situated in York Mills Park.,Public Sculpture
1985,0 Queen Street East,,c1995/1996,,"""TIME: And a Clock""",,Public Sculpture
1986,0 Queen Street West,,1983,,Simon Bolivar Statue,Situated in Trinity Bellwoods Park.  Donated by six Latin American countries as a gesture of friendship to Torontians.,Public Sculpture
1987,100 Queen Street West,,,,Archer,"North-west area of Nathan Phillips Square.  2.5 tons of bronze.  Also known as ""Three-Way Piece No.2"".",Public Sculpture
1988,100 Queen Street West,,,,Roman Column,"A symbol of goodwill betwwen the citizens of Rome and Toronto, this antique column (Egypt,ca.300-400 A.D.) was presented to Mayor Nathan Phillips on his visit to Italy by the Mayor of Rome.  It arrived in Toronto in 1957 and stayed at the Royal Ontario Museum until 1967.",Public Sculpture
1989,100 Queen Street West,,1977,,Sir Winston Churchill,"Presented to the City of Toronto by the Churchill Memorial Committee, aided by the generosity of Henry R. Jackman.",Public Sculpture
1990,0 Queen's Park,MacCarthy Hamilton P.,1894,,Sir John A. MacDonald,"Bronze, granite.",Public Sculpture
1991,0 Queen's Park,Raggi Mario,1903,,Queen Victoria Monument,,Public Sculpture
1992,0 Queen's Park,Allward Walter,1895,,North-West Rebellion Memorial,Located in Queen's Park at the junction of Grosvenor St and Queen's Park Crescent East.,Public Sculpture
1993,0 Queen's Park,Allward Walter,1903,,General John Graves Simcoe Memorial,Located south-east of the Legislative Buildings,Public Sculpture
1994,0 Queen's Park,Allward Walter,1909,,John Sandfield Macdonald,Located south of the Legislative Buildings.,Public Sculpture
1995,0 Queen's Park,"Birch Charles Bell
MacCarthy Hamilton P.",1927,,Sir James Pliny Whitney,Located in front of the legislative buidlings,Public Sculpture
1996,0 Queen's Park,Bird Eustace,1884,,George Brown,,Public Sculpture
1997,0 Queen's Park,Allward Walter,1905,,Sir Oliver Mowat,Located to the south-west of the legislative buildings.,Public Sculpture
1998,0 Queen's Park,Allward Walter,1940,,William Lyon Mackenzie,Located in the west lawn of the legislative buildings.,Public Sculpture
1999,0 Queen's Park,Brock Sir Thomas,1919,,Edward VII Equestrain Statue,"Originally stood in Edward Park, Delhi, India.   Moved to its present site in 1969.",Public Sculpture
2000,0 Queen's Park Crescent W.,,1870,,Canadian Volunteer Monument (Fenian Raid),"Toronto's FIRST public sculpture.  Erected in memory of the men who fell at Limeridge June, 1866.",Public Sculpture
2001,0 Queen's Park Crescent W.,Brock Sir Thomas,1930,,Robert Raikes,"Situated on the west side of the Crescent, near the University of Toronto.  It is a replica of an 1880 statue erected in Victoria Gardens, London, England.",Public Sculpture
2002,0 Queens Quay West,Miller Bernie,1986,,Learn to Throw Your Voice,Situated on the Spadina Slip.  Commissioned by Molson Breweries of Canada for their 200th anniversary.,Public Sculpture
2003,399 Queens Quay West,,Sept. 2000,,Firefighters Monument,Stands in fron of the Harbourfront Fire Station.,Public Sculpture
2004,0 Sherbourne Street,,1902,,Robert Burns Monument,"Situated in Allan Gardens, Sherbourne Street, west side.  Commissioned by the Burns Literary Society of Toronto.",Public Sculpture
2005,0 Spadina Avenue,,1991,,"""Spadina Line""",Located near the railway underpass,Public Sculpture
2006,0 St. Clair Avenue East,,1984,,Florence Wyle Sculpture,"Situated in the Loring and Wyle Park, north-east corner of St. Clair Avenue East and Mount Pleasant Road.  Frances Loring and Florence Wyle executed life-size portraits of each other in 1914.  These peices were cast in bronze for the first time in 1984 - the same date as the dedication of the Park named after them.  The two artists used to live and have their studio in the Moore Park area.",Public Sculpture
2007,0 St. Clair Avenue East,Wyle Florence,1984,,Frances Loring Sculpture,SEE NOTE FOR:  Florence Wyle Sculpture at same location.,Public Sculpture
2008,35 St. George Street,,1973,,"""Becca's H""",Steel sculpture in front of the Galbraith Building.,Public Sculpture
2009,0 University Avenue,,1984,,"""Sun Life""",Commissioned by the Sun Life Assurance Company of Canada.,Public Sculpture
2010,0 University Avenue,Hahn Emanuel,1957,,Robert H. Saunders Monument,Three vertical granite markers positioned in front of a rectangular pool and fountain.,Public Sculpture
2011,201 Yonge Street,,1989,1989,"""Kawamata: Toronto Project""",,Public Sculpture
2012,189 Church Street,KiiA Architecture (firm),,,Now Magazine Building,,Publishing Offices
2013,150 Danforth Avenue,Ferguson & Ferguson (firm),,,Now Magazine Office,,Publishing Offices
2014,444 Front Street West,Zerafa Boris,1962,,Globe and Mail Building no.2,1930s-style entrance was taken from the Globe's former offices on King Street and added later.,Publishing Offices
2015,140 King Street West,Mathers & Haldenby (firm),1938,1974,Globe and Mail Building no.2,Fred Winkler was sculptor of the bas-relief panels.,Publishing Offices
2016,0 Yonge Street,Knox & Elliot (firm),,1895,Globe Building no.1,"Destroyed by fire January 6, 1895.  Replaced by a second building on the same site designed by Burke & Horwood.",Publishing Offices
2017,0 Bremner Boulevard,"Armstrong Molesworth & Shepherd
Hotson Bakker Architects (firm)",1929-1931,,John Street Roundhouse,,Railway Buildings
2018,0 Dodds Avenue,,1890,,CPR West Toronto Roundhouse,SEE ALSO:  CPR West Toronto on Keele Street for information on the entire complex.,Railway Buildings
2019,0 DeGrassi Street,,c1854,,Riverdale Train Station,CN station not used since 1933.  Was rented by the Pentecostal Holiness Church from 1938 to 1946.,Railway Stations
2020,65 Front Street West,"Du Toit Roger
Jones Hugh
Lyle John
Ross & Macdonald (firm)
Webb Zerafa Menkes Housden (firm)",1914,,Union Station,"the FIRST Uninion Station was built opened in May 1858 on the west side of York Street, south of what is now Station Street.  It was demolished in October 1871.  The SECOND Union Station was built in September 1871 and was situated between Station Street and the edge of Lake Ontario.  The THIRD Union Station is the one standing.  For information about the proposed arena for the Toronto Maple Leafs that would utilize Union Station,  search under ""Maple Leaf's Arena"" in the Building Name field.",Railway Stations
2021,0 Moore Avenue,,,,Moore Park Station,Part of the Toronto Belt Line Railway which ceased in 1894.,Railway Stations
2022,67 Pottery Road,,1881,,Don Train Station,Originally located near Queen Street East. Restored and relocated to the Todmorden Mills site in 1969.,Railway Stations
2023,0 Queen Street West,,1878,c1976,Parkdale Railway Station,Built by the Northern Railway Co.,Railway Stations
2024,0 Station Street,"Hannaford E.P.
Strickland & Symonds (firm)",1871-1873,Oct. 1927,Union Station - Second,"1893-1894 addition by Strickland & Symonds was built on the south side of Front Street.  It was connected to the 1873 building by a long concourse which bridged Station Street.  For the THIRD (present) Union Station, see: 65 Front Street West.",Railway Stations
2025,0 Mount Pleasant Cemetery,,,,Belt Line Railway,"The Belt Line Railway, operated by the Belt Line Company, functioned from July 30, 1892 to November 17, 1984.  It was intended to provided access to the developing suburbs of Toronto, and tracks were through the Don and Humber valleys. The stations on the Don Valley loop were Moore Park, Rosedale, Don Valley, Gerrard, Don and Union Sation",Railways
2026,0 Church Street,"Calatrava Santiago
Moriyama & Teshima (firm)",,,Ryerson Centre for Computing & Engineering,"Proposed site of the building extends north from Dundas St. to Gould St..  The east side of the property runs along Dalhousie St.  Reknowned architect Santiago Calatrava was orginally appointed to design the building, but he walked off the job I October 2001 after his original plans for a tower were not accepted.  Moriyama and Teshima  were then awarded the commission.",Research Buildings
2027,112 College Street,Mathers & Haldenby (firm),,,Charles H. Best Institute,University of Toronto.  Houses the Banting & Best Department of Medical Research.,Research Buildings
2028,150 College Street,,,,School of Hygiene,,Research Buildings
2029,200 College Street,Page & Steele (firm),1947-1948,,Wallberg Memorial Building,University of Toronto.  Houses the Chemical Engineering Department.  Street address also given as 184-200 College Street.,Research Buildings
2030,222 College Street,Kuwabara Payne McKenna Blumberg (firm),1994-1995,,Fields Institute,,Research Buildings
2031,1 Devonshire Place,Kuwabara Payne McKenna Blumberg (firm),2000,,Munk Centre for International Studies,Knitted together from a series of three 1907 residences designed by Eden Smith.,Research Buildings
2032,0 Dufferin Street,"Craig & Madill (firm)
Wilkes F. Hilton",c1917,,Connaught Laboratories,,Research Buildings
2033,5 King's College Road,Allward & Gouinlock (firm),,,Mechanical Engineering Bldg,"University of Toronto.  The rear part of the building was designed by Darling & Pearson, 1909.  The new wing was added in 1947-48 by Allward & Gouinlock.",Research Buildings
2034,10 King's College Road,Darling & Pearson (firm),1907,,Sanford Fleming Building,"Originally the Physics Building, then the McLennan Laboratories.",Research Buildings
2035,39 Queen's Park Crescent E.,,c1907,,Centre for Culture and Tech.,"Originally a coach house built around 1907, this building became the office of Marshall Mcluhan in 1968.  He died there in 1980.  The building was re-opened in the early 1960s as the home of the McLuhan Program in Culture and Technology - part of the University of Toronto's faculity of Information Studies.  (Actual street number is 39A Queens's Park crescent East).",Research Buildings
2036,0 Queen's Park Crescent W.,"Foster Norman
Moffat Kinoshita Assoc. (firm)",,,Pharmacy Building,,Research Buildings
2037,8 Queen's Park Crescent W.,Mathers & Haldenby (firm),,,Botany Building,"Part of the Botany Buidling, built at the same time.  Will be dismantled to make way for the Pharmacy Building.",Research Buildings
2038,0 St. George Street,Diamond A.J. Donald Schmitt,,,Bahen Centre for IT,"Bahen Centre for Information Technology, University of Toronto.   Includes part of the historic house at 44 St. George St.",Research Buildings
2039,80 St. George Street,"Allward & Gouinlock (firm)
Diamond A.J. Donald Schmitt",2000,,Lash Miller Chemistry Building,Includes the added storeys of the John and Edna Davenport Chemical Research Building.,Research Buildings
2040,110 University Avenue,,c1920?,,Ontario Veterinary College,,Research Buildings
2041,345 Adelaide Street West,,c2001,,YYZ,,Restaurants
2042,1221 Bay Street,,,,Acrobat,,Restaurants
2043,1 Benvenuto Place,"Dubois Plumb & Associates (firm)
Page & Steele (firm)",1955,,Scaramouche Restaurant,,Restaurants
2044,50 Bloor Street West,Ridgely Gordon,,,Bloor Street Diner,,Restaurants
2045,60 Bloor Street West,,1991,,Acrobat,,Restaurants
2046,527 Bloor Street West,Syme Paul,,,Threshold Cyber Cafe,,Restaurants
2047,0 Cherry Street,,1862,,Canary Restaurant,,Restaurants
2048,55 Colborne Street,Ridgely Gordon,,,Markleangelo's,,Restaurants
2049,503 College Street,,,,Ellipsis,,Restaurants
2050,584 College Street,Giannone Ralph,1995 - reno,,Bar Italia,,Restaurants
2051,595 College Street,Yabu Pushelberg (firm),c1993,,Sotto Voce,,Restaurants
2052,400 Danforth Avenue,,,,Astoria Restaurant,,Restaurants
2053,54 Dundas Street East,,,,Imperial Pub Tavern,,Restaurants
2054,130 Dundas Street West,,,,Sai Woo,,Restaurants
2055,1132 Dundas Street West,,e.1930s,,Lakeview Restaurant,,Restaurants
2056,1671 Eglinton Avenue East,,1960,,La Pentola Restaurant,"Part of the restaurant is comprised of a streetcar that was originally built in 1932 for the Kansas City, Missouri Public Service Company, and then sold to the TTC (along with 29 others) in 1957.",Restaurants
2057,876 Eglinton Avenue West,,,,House of Chan,,Restaurants
2058,301 Front Street West,,,,360 Restaurant,Revolving Restaurant. SEE ALSO: CN Tower at same address.,Restaurants
2059,66 Harbord Street,Precipice (firm),2000,,sPaHa,"Situated within Graduate House, University of Toronto (SEE: 60 Harbord St.)",Restaurants
2060,7 King Street East,Hand Harris & Merritt (firm),1915,1960,Bowle's Lunch Room,,Restaurants
2061,27 King Street West,,,,McConkey's Restaurant,Occupied street nos.27-29 King Street West.,Restaurants
2062,319 King Street West,,c1970?,,La Fenice,,Restaurants
2063,45 McCaul Street,Millar C. Blakeway,,,Trolley Restaurant,,Restaurants
2064,71 McCaul Street,,,,Cowboys Restaurant,,Restaurants
2065,19 Mercer Street,II BY IV Design (firm),c2000,,Rain,,Restaurants
2066,692 Mount Pleasant Road,Kerenyi Louis,,,Pronto Restaurant,,Restaurants
2067,117 Peter Street,,1995,,Orchid,,Restaurants
2068,993 Queen Street East,,1895,,Hello Toast,,Restaurants
2069,33 Queen Street West,Lennox Edward,1914,,McConkey's Lunch,,Restaurants
2070,47 Queen Street West,Hand Harris & Merritt (firm),1915,1968,Bowle's Lunch Room,,Restaurants
2071,269 Queen Street West,,,,Blue Angel,,Restaurants
2072,567 Queen Street West,,,,Left Bank,,Restaurants
2073,924 Queen Street West,,c2000,,Bar One,,Restaurants
2074,1296 Queen Street West,,,,Cadillac Lounge,,Restaurants
2075,255 Queens Quay West,Clarke Andrew,,,Amsterdam Cafe,,Restaurants
2076,21 St. Clair Avenue West,,,,Fran's Restaurant,,Restaurants
2077,22 St. Thomas Street,Kravis Janis,c1960s,,Three Small Rooms,,Restaurants
2078,78 Vaughn Road,,,,Dutch Boy Ice Cream Parlour,,Restaurants
2079,48 Wellington Street East,Diamond A.J. Donald Schmitt,,,Cafe des Copains,,Restaurants
2080,66 Yonge Street,,,,Webb's Restaurant,"Caterers, by appointment, to the Governor General",Restaurants
2081,160 Yonge Street,,1929,,Acadian Court,SEE ALSO: Simpsons Department Store (nowThe Bay) at the same address.,Restaurants
2082,187 Yonge Street,,,,Biltomore Restaurant,,Restaurants
2083,279 Yonge Street,Westervelt J.C.,1918,,Child's Restaurant,,Restaurants
2084,800 Yonge Street,,,,Pilot Tavern,,Restaurants
2085,1507 Yonge Street,Oleson Worland Architects (firm),,,Yonge Street Diner,,Restaurants
2086,100 Adelaide Street East,,,,Dominoin Typewriters,Formerly the Ritchie Plumbing Building.,Retail Stores
2087,107 Baldwin Avenue,,,,Reingewirtz Paint Store,,Retail Stores
2088,55 Bloor Street West,Moriyama & Teshima (firm),1987,,Bay Bloor Radio,Situated in the Manulife Centre,Retail Stores
2089,89 Bloor Street West,,,,MAC,,Retail Stores
2090,110 Bloor Street West,"Petroff Partnership Architects
Taylor Hariri Pontarini (firm)",,,Chapters Bookstore,,Retail Stores
2091,426 College Street,,1892,,,,Retail Stores
2092,430 College Street,,1887-88,,,,Retail Stores
2093,138 Cumberland Street,,c2001,,Karir Fashion Eyewear,,Retail Stores
2094,445 Danforth Avenue,,,,Percy Waters Florist,,Retail Stores
2095,11 Hayden Street,,,,Uptown Nuthouse,,Retail Stores
2096,33 Hazelton Avenue,"Dick & Wickson (firm)
Rosen Sheldon",1890,,Hazelton House,"Originally the Olivet Congregational Church.  Remodelled as a commercial block in 1972-1973 to contain shops, galleries and the architect's (Sheldon Rosen) own offices.",Retail Stores
2097,33 King Street East,Irving William,1866-1867,1901,Golden Lion,,Retail Stores
2098,20 King Street West,Lennox Edward,1885-1885,1962,Manning Arcade,,Retail Stores
2099,400 King Street West,"Ferris & Quinn Associates (firm)
Stone Kohn McGuire Vogt (firm)",1998,,Mountain Equipment Co-op,,Retail Stores
2100,4587 Kingston Road,,1940s,,Musonic Store,,Retail Stores
2101,108 Main Street,,,,Pinnell & Duffield,,Retail Stores
2102,8 Queen Street East,Allward & Gouinlock (firm),1945,1995,Peoples Optical,,Retail Stores
2103,92 Queen Street East,,c1889,,Richard Bigley Store,,Retail Stores
2104,2 Queen Street West,Alter & Ireland (firm),c1986,,Tower Records,"Originally the home of Jamieson's Clothiers.  Later, Woolworth's moved into the building.  In 1980, after 65 years the store was closed, and in the 1980s, a $4 million restoration began.  The building is now home to a fitness club and Tower Records.  Not to be confused with the 1949 Woolworth Building that was demolished in 1997.",Retail Stores
2105,262 Queen Street West,Burdifilek (firm),,,Caban,,Retail Stores
2106,267 Queen Street West,,,,Walkin Shoe Store,,Retail Stores
2107,367 Queen Street West,,,,Silver Snail,,Retail Stores
2108,37 Sherbourne Street,,c1868,,B.B. Smith & Son,"Building initially occupied street numbers 37 and 39, and functioned as the stables and grooms' and drivers' quarters for the National Hotel which was up the street.",Retail Stores
2109,118 Yonge Street,"Havill James
Seligman Sandra
Sheard Matthew",c1880s,,,"Originally part of the Elgin Buildings, a Georgian terrace built in 1850 by Jesse Kethcham, philanthropist and land developer.  Here, William Lyon MacKenzie published the WEEKLY MESSENGER.  Altered in 1910 by Matthew Sheard for the Ryrie Brothers jewllers and in 1910 by James Havill for Holt Renffrew & Co..   Restored in 1987 by Sandra Seligman.",Retail Stores
2110,145 Yonge Street,Chapman & McGiffin (firm),1912,1988,R.S. Williams Building,Williams sold pianos and other musical instruments from this 10-story building.,Retail Stores
2111,201 Yonge Street,Dick David,,,,"Occupied nos.201-203 Yonge Street.  Was built by developer John Enoch Thompson in 1888 and contained first-floor stores, second-floor offices and a third-floor photographic studio.   First floor also the site of the Athlete Hotel, operated by John F. Scholes.  Name later changed to Scholes Tavern until 1947/48, when it became the Colonial Tavern (see instance #2 at the same address).",Retail Stores
2112,340 Yonge Street,Lyle John,1922,,Thornton Smith Building,,Retail Stores
2113,347 Yonge Street,,,,Sam the Record Man Store,,Retail Stores
2114,454 Yonge Street,,,,,Nos. 454-468 Yonge Street reburbished by developer Joseph Bogoroch.,Retail Stores
2115,526 Yonge Street,McCaw & Lennox (firm),1881,,,526-528 Yonge Street are part of a block (522-528) that are being refurbished  by developer Joseph Bogoroch.,Retail Stores
2116,906 Yonge Street,Thom Partnership (firm),,,Ridpath's Furniture Store,,Retail Stores
2117,192 Adelaide Street West,,1829-1833,,Bishop's Block,Only two units of the original five units are still standing.  Built by Toronto butcher Joseph Bishop during a boom period for speculative property development.,Row Houses
2118,90 Bain Avenue,"Marani Ferdinand
Smith Eden",1914,,Riverdale Courts,,Row Houses
2119,1 Baseball Place,,1890s,,,,Row Houses
2120,42 Castle Frank Road,Satok & Poizner (firm),,,,,Row Houses
2121,5 Clarence Square,,1879-80,,Clarence Terrace,Clarence Terrace occupied nos. 5 to 16 Clarence Square.,Row Houses
2122,13 Clarence Square,,,,,,Row Houses
2123,0 Don Mills Neighbourhood,"Fliess Henry
Murray James",,,Southill Row Houses,,Row Houses
2124,0 Don Mills Neighbourhood,,c1957,,,,Row Houses
2125,0 Don Mills Neighbourhood,"Fliess Henry
Klein & Sears (firm)
Tampold Wells Architects (firm)",,,Don Valley Village,,Row Houses
2126,36 First Avenue,,1889,,,"Row consists of nos. 30,32,43 and 36.",Row Houses
2127,207 Jarvis Street,Zeidler Eberhard,c1850s,,,"Terrace houses occupy street numbers 207 to 213 and 215 to 219 Jarvis Street.  Restored in the 1970s (Zeidler), they are Toronto's first example of factory worker's housing.",Row Houses
2128,285 Jarvis Street,Knox & Elliot (firm),,,,Four row houses occupying street nos. 285-291 Jarvis St.,Row Houses
2129,399 King Street East,,,,,Owned by Little Trinity Anglican Church.  Occupies street nos. 399-403 King Street East.,Row Houses
2130,0 London Green Court,,,,Yorkwoods Village,,Row Houses
2131,0 MacPherson Avenue,,,,,,Row Houses
2132,0 Major Street,,"1888, 1892",,,,Row Houses
2133,0 Melbourne Place,,,,,,Row Houses
2134,10 Metcalfe Street,,1883,,,"The row houses on Metcalfe Street consist of 4 separate rows:  the odd-numbered ones (1-15, 17-25) built by Thomas Bryce in 1888-89.  The even ones (6-18, 20-32) were built in 1883 and 1886 respectively.",Row Houses
2135,63 Mutual Street,,c1880s,,,,Row Houses
2136,502 Parliament Street,,1879,,,"Row of four homes (street #s 502-508) in the ""Second Empire"" style built by  builder J. Bowdern in 1879.",Row Houses
2137,562 Parliament Street,,1877,,Darling Terrace,Nos. 562-566 Parliament Street named after contractor William Darling.,Row Houses
2138,568 Parliament Street,,1876,,Chamberlin Terrace,Nos. 568-582 Parliament St. named for builder Charles Chamberlin.,Row Houses
2139,0 Pharmacy Avenue,Fliess Henry,,,Bridlemanor Townhouses,,Row Houses
2140,0 Reed Street,,,,,,Row Houses
2141,1 Rose Avenue,,1879,,,"Six-unit row at #s 1-11 dates from 1879, except no. 5, which was demolished in the 1970s and later rebuilt.",Row Houses
2142,0 Shank Street,,,,Massey Square,"Part of the Massey Square Development consisting of villa homes and a condominium. It is on the site of the former Massey-Ferguson headquarters in an area bounded by Shaw, Shank, King and Crawford Streets.",Row Houses
2143,102 Shuter Street,Tully John,1856,,,SEE:  104 Shuter Street,Row Houses
2144,104 Shuter Street,"Tully John
Tully Kivas",1856,,Walnut Hall Apartments,Part of a block of row houses occupying nos. 104 to 110 Shuter Street.  Built for ward alderman John O'Donohue.  (Buildings sometimes referred to as O'Donohue Row),Row Houses
2145,6 St. Joseph Street,,c1879,,,Five-house row occupying nos. 6-14 St. Joseph Street.,Row Houses
2146,92 Sumach Street,,,,,,Row Houses
2147,98 Sumach Street,,,,,,Row Houses
2148,0 Valley Woods Drive,Tampold Wells Architects (firm),,,Citadel Village,SEE ALSO:  Don Valley Woods at Yorkmills Road.,Row Houses
2149,55 Ameer Avenue,Boigon & Armstrong (firm),,,Baycrest Terrace Centre,,Senior Citizens' Housing
2150,1860 Lawrence Avenue East,Sievenpiper J.,c1984,,Wexford Brotherhood Fdn.,,Senior Citizens' Housing
2151,2 Neptune Drive,,,,Two Neptune Drive,,Senior Citizens' Housing
2152,985 Danforth Avenue,,1937,,Joy Gas Station,,Service Stations
2153,575 Lake Shore Boulevard West,,1937,,Joy Gas Station,"The station was one of a chain of 14 Joy Oil outlets originally built throughout Toronto in the 1930s.  As of 1986, there were 7 buildings still standing:  no.1947 Bloor St. West;  no.1978 Lakeshore Boulevard West;   no.1650 Queen Street East;  no. 789 St. Clair Avenue West;  no.985 Danforth Avenue;  no.575 Lakeshore Boulevard West and no. 429 Roncesvalles Avenue.  At present (1998), only the last three remain.",Service Stations
2154,55 Avenue Road,Cotton Peter,,,Hazelton Lanes,,Shopping Complexes
2155,595 Bay Street,"Page & Steele (firm)
Wassermuhl Sol",,,Atrium on Bay,,Shopping Complexes
2156,55 Bloor Street West,"Clifford & Lawrie (firm)
Clifford Lawrie Bolton Ritchie (firm)",1969,,Manulife Centre,"Comprises an 18-storey office tower on Bloor St. West, a 51-storey apartment building on Charles St. west, a 2-floor podium with 45 retail stores and a cinema.  Built in ttwo stages -- apartment tower first in 1972 and then the office tower, opened in 1974.",Shopping Complexes
2157,96 Bloor Street West,Webb Zerafa Menkes (firm),1884,,Lothian Mews,Will be demolished as part of a plan to redevelop the site of the former University Theatre.,Shopping Complexes
2158,100 Bloor Street West,"Graham Colin & Assoc.
Hounsom Eric",,,"University Theatre ""Complex""","Planned $175 million 575,000 square foot cinema-retail-condominium complex that will feature the facade of the University Theatre, built 1946-1949 by Eric Hounsom.  Redevelopment will necessitate the demolition of the Physicians and Surgeons Building (1922) at no.86 Bloor Street West, as well as Pearcy House (Lothian Mews) (1880s/1962) at no.96 Bloor Street West.",Shopping Complexes
2159,110 Bloor Street West,Li Daniel,,,110 Bloor Street West,Condominiums on upper storeys,Shopping Complexes
2160,131 Bloor Street West,Robinson Gerald,1963,,Colonnade,,Shopping Complexes
2161,150 Bloor Street West,Webb Zerafa Menkes Housden (firm),c1984,,Renaissance Centre,,Shopping Complexes
2162,300 Borough Drive,"Bregman + Hamann Architects
Pellow & Associates (firm)",,,Scarborough Town Centre,"SEE ALSO:  Scarborough Civic Centre, a complex of municipal buildings across the street at 150 Borough Drive.",Shopping Complexes
2163,100 City Centre Drive,"Du Tois Allsopp Hillier (firm)
Hotson Bakker Architects (firm)",1973,,Square One Shopping Centre,,Shopping Complexes
2164,348 Danforth Avenue,Reuber Paul,1926,,Carrot Common,,Shopping Complexes
2165,747 Don Mills Road,"Fisher, Tedman & Fisher (firm)
Parkin John B.",,,Don Mills Shopping Centre,,Shopping Complexes
2166,0 Dufferin Street,Graham John,1964,,Yorkdale Shopping Centre,Was the largest enclosed shopping centre when it opened in 1964.,Shopping Complexes
2167,2225 Erin Mills Parkway,Deacon Arnett & Murray (firm),,,Sheridan Mall,,Shopping Complexes
2168,80 Front Street East,Markson Jerome,,,Market Square,"Market Square is a multi-use complex (condominiums, retail stores and cinemas) and has several street addresses:       74 Front Street East,  80 Front Street East and 35 Church Street.",Shopping Complexes
2169,2 Gloucester Street,Adamson Associates (firm),,,Gloucester Mews,,Shopping Complexes
2170,19 Hazelton Avenue,Rosen Sheldon,,,Hazelton House,Originally was the Olivet Congregational Church.  Address also listed as no. 33 Hazelton avenue,Shopping Complexes
2171,55 Hazelton Avenue,,,,Hazelton Lanes,2001 remake to cost $20 million (by Page + Steele Architects),Shopping Complexes
2172,4700 Keele Street,Beinhaker / Irwin Assoc. (firm),,,York Lanes,,Shopping Complexes
2173,207 Queens Quay West,"Moores & Dunford (firm)
Zeidler Roberts Partnership",1923,,Queen's Quay Terminal,"Initially known as the Terminal Warehouse, it was designed for the Toronto Harbour Commission in 1929.   ""...the first poured-concrete building in Canada"".",Shopping Complexes
2174,208 Spadina Avenue,,c1984,,Chinatown Centre,,Shopping Complexes
2175,25 West Mall (The),"Fliess Henry
Murray James
Parkin Architects Limited (firm)",,,Sherway Gardens,,Shopping Complexes
2176,0 Yonge Street,Armstrong Molesworth & Shepherd,1986,,Roys Square Mews,,Shopping Complexes
2177,131 Yonge Street,Walton C.A.,1883-1884,1955,Toronto Arcade,,Shopping Complexes
2178,220 Yonge Street,"Bregman + Hamann Architects
Zeidler Roberts Partnership",1981,,Eaton Centre,SEE ALSO:  T. Eaton & Company at 190 Yonge Street.,Shopping Complexes
